language,n,avg_overall,std_overall
ES,135,0.8171113488977265,0.020688357019725587
SK,135,0.8156656774276032,0.026761076504338642
SL,135,0.8143928200633817,0.03036556404312145
RO,135,0.8143530702647997,0.031441537583416536
EN,135,0.813045932952394,0.032148123189284845
DA,135,0.8124746189457639,0.03378595224101363
SV,135,0.8121557410309437,0.029402646790515182
HR,135,0.8118760254791132,0.0305926430584316
BG,135,0.8113719103563481,0.025739696389181287
NL,135,0.809926120801528,0.028445365300391403
FR,135,0.8091195108408149,0.03114408742276949
CS,135,0.8081467949376804,0.029750366033786124
ET,135,0.8072796651597478,0.03941328853337694
FI,135,0.8071566804611119,0.03193070490207046
PL,135,0.8066346291311494,0.03491233374306901
LV,135,0.8049937035745071,0.030532275609347598
EL,135,0.8025267857942242,0.028948626289587477
PT,135,0.8020636226478622,0.033360806668936836
LT,135,0.8020278621073995,0.03842684757216839
DE,135,0.8016773195803756,0.033384393910110124
IT,135,0.7991245081476976,0.0366839007563102
HU,135,0.7953391219576325,0.034990706483769084
MT,135,0.7141915428531213,0.08350990296738711
GA,135,0.6787513299333586,0.07263371904583339
