model_name_norm,samples,start_ts,end_ts,gpu_util_mean,gpu_util_p10,gpu_util_p90,mem_used_p10_mb,mem_used_p90_mb,mem_used_mean_mb,mem_used_max_mb,temp_max_c,duration_min,model_name,avg_latency_ms,max_latency_ms,avg_overall_quality,display_model
deepseek-r1-distill-qwen-32b-b200,5416,2026-02-28 15:01:24.235,2026-02-28 16:36:50.778,90.75129246676514,99.0,100.0,166520.0,166520.0,153669.16174298376,166520,49,95.44,deepseek-r1-distill-qwen-32b-b200,14418.242219421598,26528.393745422363,0.7835759322039977,deepseek-r1-distill-qwen-32b-b200
deepseek-r1-distill-qwen-14b-b200,3229,2026-02-28 16:36:51.830,2026-02-28 17:34:08.803,84.71694022917312,0.0,100.0,29158.0,166222.0,144866.29637658718,166222,47,57.28,deepseek-r1-distill-qwen-14b-b200,8130.398680766423,12433.987379074097,0.7742796518935852,deepseek-r1-distill-qwen-14b-b200
deepseek-r1-distill-qwen-7b,1930,2026-02-28 17:34:09.859,2026-02-28 18:08:28.991,78.20207253886011,0.0,100.0,2000.200000000007,166212.0,141079.5968911917,166212,45,34.32,deepseek-r1-distill-qwen-7b,4736.836428774728,8065.041065216064,0.7748912356095891,deepseek-r1-distill-qwen-7b
eurollm-22b-instruct-2512,1935,2026-02-28 18:41:10.850,2026-02-28 19:15:26.455,76.22428940568476,0.0,100.0,0.0,166334.0,132532.9984496124,166334,49,34.26,eurollm-22b-instruct-2512,4358.719207843144,6453.907489776611,0.8110322734021943,eurollm-22b-instruct-2512
mistral-nemo-instruct-2407-b200,1606,2026-02-28 20:09:01.901,2026-02-28 20:37:18.261,74.42590286425903,0.0,100.0,0.0,166124.0,129709.25404732254,166124,46,28.27,mistral-nemo-instruct-2407-b200,3545.2127152019075,10611.496925354004,0.8063488654138897,mistral-nemo-instruct-2407-b200
mistral-small-3-2-24b-instruct-2506-awq-sym-b200,1656,2026-02-28 19:39:53.028,2026-02-28 20:09:00.847,72.92512077294685,0.0,100.0,0.0,166246.0,126116.88707729468,166246,46,29.13,mistral-small-3-2-24b-instruct-2506-awq-sym-b200,3562.493649456236,11740.350484848022,0.8100147736845941,mistral-small-3-2-24b-instruct-2506-awq-sym-b200
eurollm-9b-instruct-2512,1292,2026-02-28 19:15:27.508,2026-02-28 19:38:11.839,71.78173374613003,0.0,100.0,0.0,166114.0,126577.53250773993,166114,45,22.74,eurollm-9b-instruct-2512,2751.711929506726,4129.402875900269,0.8123627600588111,eurollm-9b-instruct-2512
devstral-small-2-24b-instruct-2512-b200,1891,2026-02-28 20:37:19.314,2026-02-28 21:10:36.158,70.06768905341089,0.0,100.0,0.0,166254.0,124451.51031200423,170428,52,33.28,devstral-small-2-24b-instruct-2512-b200,3896.209712823232,11302.326917648315,0.8163490715868259,devstral-small-2-24b-instruct-2512-b200
qwen3-30b-a3b-instruct-awq-b200,1881,2026-02-28 14:28:04.390,2026-02-28 15:01:23.034,64.14354066985646,0.0,100.0,0.0,166418.0,116143.50664540139,166418,34,33.31,qwen3-30b-a3b-instruct-awq-b200,3612.554281287723,8632.951498031616,0.80042281490137,qwen3-30b-a3b-instruct-awq-b200
teuken-7b-instruct-commercial-v0.4,95,2026-02-28 19:38:12.893,2026-02-28 19:39:51.976,0.0,0.0,0.0,0.0,0.0,0.0,0,32,1.65,,,,,teuken-7b-instruct-commercial-v0.4
