Category,Question,Answer,Evidence,Risk_or_Caveat
Scope,What did we evaluate?,"Context-grounded response quality across 9 models, 24 EU languages, and 5 question families.",scores/results DB + XLSX artifacts,Findings apply to this task mix and prompt design.
Scope,How many samples are in the final analysis?,"3,240 scored responses.",evaluation_scores_euf_context.db row count,Assumes no post-run filtering.
Ranking,Which model performed best overall?,devstral-small-2-24b-instruct-2512-b200 with average overall quality 0.816.,insights/data/model_summary.csv,Ranking can shift with different weights or datasets.
Ranking,How big is the gap between best and worst model?,About 0.042 in average overall quality (0.816 vs 0.774).,model_summary.csv,Statistical significance not yet reported here.
Language,Which language was strongest and weakest?,Top: ES (0.817); bottom: GA (0.679).,language_summary.csv,May reflect training-data imbalance and script complexity.
Language,Are all 24 EU languages covered?,"Yes, all 24 are present in the scored dataset.",distinct language count in scores DB,Coverage does not imply equal performance quality.
Question,Which question type was easiest/hardest?,Best average: Q1 (0.823); lowest: Q2 (0.768).,question_summary.csv,Question wording and context quality influence this.
Latency,Which model is fastest and slowest?,Fastest mean latency: eurollm-9b-instruct-2512 (2752 ms); slowest: deepseek-r1-distill-qwen-32b-b200 (14418 ms).,latency_summary.csv,Latency depends on hardware/runtime settings.
Method,How is the overall quality score computed?,"Weighted combination of relevance, factual accuracy, completeness, fluency, coherence, prompt alignment, and token efficiency.",metrics/metrics_config.yaml + scoring script,Weight choices encode subjective priorities.
Method,What ensures scores are valid and not corrupted?,"All metrics are within [0,1], with zero nulls and full score/result coverage.",insights/EVALUATION_CONTEXT_REPORT.md integrity checks,Range validity does not prove metric correctness.
Method,Why is token_efficiency always 0?,"For the context profile, token efficiency is disabled (weight 0), so it contributes 0 by design.",metrics_config context profile,Enable it only if token-cost tradeoff is a priority.
Reliability,How stable are scores across 3 runs?,Most models show very low run-to-run variance; variability is generally small.,run stability table in insights report,Some models still show larger tails on specific cells.
Interpretation,Does higher factual accuracy mean no hallucinations?,"Not necessarily. It indicates stronger entailment/context alignment, not complete hallucination absence.",NLI-based factual metric design,Needs manual audits on low-scoring outliers.
Interpretation,Can we trust language-level differences?,"Yes directionally, but treat small gaps cautiously without formal significance tests.",language summary + variance,Recommend bootstrap CIs or mixed-effects modeling.
Business,Which model should we choose for production now?,Start with devstral-small-2-24b-instruct-2512-b200 for quality; benchmark against eurollm-9b-instruct-2512 if latency/cost dominates.,model + latency summaries,"Decision should include cost, throughput, and operational constraints."
Business,Is a smaller model enough?,"In this dataset, smaller/efficient models are competitive and often strong.",overall ranking spread is modest,May differ for long-context or domain-shift tasks.
Process,How reproducible is this pipeline?,Deterministic prompts/config + persisted DB artifacts make reruns auditable and comparable.,results DB + generated insights scripts,GPU-level nondeterminism can cause tiny float drift.
Process,What changed from prior runs?,Scoring was optimized (batching/caching) while preserving metric formulas and thresholds.,code changes in evaluator + scoring script,Validate with sample A/B diffs when governance requires strict parity.
Governance,What are the main limitations we should disclose?,Task set is domain-specific; metric weights are subjective; factual metric depends on NLI model behavior.,report caveats and config,Include these in executive readout slides.
Governance,How should we present uncertainty?,"Show means with spread (std/p10/p90), and avoid over-claiming small differences.",model summary statistics,Add confidence intervals in next revision.
Next Steps,What analysis should be done next?,"Add significance tests, failure-mode slicing, and cost-per-quality analysis per model.",current summaries + latency,Requires consistent cost telemetry capture.
Next Steps,How do we make this presentation defensible?,"Share raw artifacts, scripts, charts, and exact commands used to regenerate report outputs.",insights folder structure,Ensure repository includes environment versions and seeds.
