language	base_question	input_tokens_est_mid	response_tokens_est_mid_mean	response_tokens_est_mid_p90	response_tokens_est_mid_max	total_tokens_est_mid_mean	total_tokens_est_mid_max
BG	Q1	582	627.3	944	1166	1209.3	1748
BG	Q2	570	675.2	945	1200	1245.2	1770
BG	Q3	582	657.5	1052.8	1120	1239.5	1702
BG	Q4	568	511.6	770.8	854	1079.6	1422
BG	Q5	565	550.7	890	972	1115.7	1537
CS	Q1	579	579.5	922.2	932	1158.5	1511
CS	Q2	569	579.9	1001	1205	1148.9	1774
CS	Q3	577	646.9	1129.4	1292	1223.9	1869
CS	Q4	568	582.7	1053.8	1333	1150.7	1901
CS	Q5	562	573	918	1514	1135	2076
DA	Q1	584	623.5	1130.4	1191	1207.5	1775
DA	Q2	569	577.3	915.6	984	1146.3	1553
DA	Q3	579	714.5	1453.8	1530	1293.5	2109
DA	Q4	568	712.8	1401.6	1740	1280.8	2308
DA	Q5	564	590.7	1105	1276	1154.7	1840
DE	Q1	584	737.4	1416	1510	1321.4	2094
DE	Q2	572	634.6	1062	1101	1206.6	1673
DE	Q3	582	631	954	960	1213	1542
DE	Q4	569	634.6	988.2	1298	1203.6	1867
DE	Q5	561	614.2	968	992	1175.2	1553
EL	Q1	583	700.6	1095.6	1212	1283.6	1795
EL	Q2	570	716.8	1153.8	1194	1286.8	1764
EL	Q3	584	640.4	978.8	1010	1224.4	1594
EL	Q4	570	546.7	848	983	1116.7	1553
EL	Q5	568	589.3	898	922	1157.3	1490
EN	Q1	582	722.3	1193.6	1214	1304.3	1796
EN	Q2	566	676.7	1050	1126	1242.7	1692
EN	Q3	580	717.7	1074.4	1210	1297.7	1790
EN	Q4	566	744.9	1275.6	1691	1310.9	2257
EN	Q5	560	659.8	1011.8	1184	1219.8	1744
ES	Q1	585	733.2	1342.4	1814	1318.2	2399
ES	Q2	569	621	923.2	958	1190	1527
ES	Q3	580	740.1	1386.4	1570	1320.1	2150
ES	Q4	574	632.9	1038	1092	1206.9	1666
ES	Q5	564	620.6	894	942	1184.6	1506
ET	Q1	582	641.3	1217.6	1268	1223.3	1850
ET	Q2	570	606.8	973.2	1184	1176.8	1754
ET	Q3	575	713.8	1187.6	1424	1288.8	1999
ET	Q4	568	697.7	1204	1243	1265.7	1811
ET	Q5	560	597.9	1003.4	1196	1157.9	1756
