id	model_name	language	question_id	run_number	question_chars	context_chars	prompt_chars	response_chars	input_tokens_est_min	input_tokens_est_max	input_tokens_est_mid	response_tokens_est_min	response_tokens_est_max	response_tokens_est_mid	total_tokens_est_min	total_tokens_est_max	total_tokens_est_mid	max_model_len	max_model_len_source	remaining_output_tokens_est_min	remaining_output_tokens_est_max	effective_output_cap_est_min	effective_output_cap_est_max	would_exceed_max_len_est	base_question
1	qwen3-30b-a3b-instruct-awq-b200	BG	Q1_BG	1	124	1887	2584	2148	517	646	582	430	537	484	947	1183	1066	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q1
2	qwen3-30b-a3b-instruct-awq-b200	BG	Q1_BG	2	124	1887	2584	2057	517	646	582	412	515	464	929	1161	1046	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q1
3	qwen3-30b-a3b-instruct-awq-b200	BG	Q1_BG	3	124	1887	2584	2057	517	646	582	412	515	464	929	1161	1046	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q1
4	qwen3-30b-a3b-instruct-awq-b200	BG	Q2_BG	1	99	1862	2534	1920	507	634	570	384	480	432	891	1114	1002	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
5	qwen3-30b-a3b-instruct-awq-b200	BG	Q2_BG	2	99	1862	2534	1851	507	634	570	371	463	417	878	1097	987	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
6	qwen3-30b-a3b-instruct-awq-b200	BG	Q2_BG	3	99	1862	2534	1707	507	634	570	342	427	384	849	1061	954	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
7	qwen3-30b-a3b-instruct-awq-b200	BG	Q3_BG	1	109	1901	2583	1631	517	646	582	327	408	368	844	1054	950	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q3
8	qwen3-30b-a3b-instruct-awq-b200	BG	Q3_BG	2	109	1901	2583	1700	517	646	582	340	425	382	857	1071	964	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q3
9	qwen3-30b-a3b-instruct-awq-b200	BG	Q3_BG	3	109	1901	2583	1700	517	646	582	340	425	382	857	1071	964	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q3
10	qwen3-30b-a3b-instruct-awq-b200	BG	Q4_BG	1	106	1843	2522	2039	505	631	568	408	510	459	913	1141	1027	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
11	qwen3-30b-a3b-instruct-awq-b200	BG	Q4_BG	2	106	1843	2522	1553	505	631	568	311	389	350	816	1020	918	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
12	qwen3-30b-a3b-instruct-awq-b200	BG	Q4_BG	3	106	1843	2522	1553	505	631	568	311	389	350	816	1020	918	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
13	qwen3-30b-a3b-instruct-awq-b200	BG	Q5_BG	1	113	1824	2510	1340	502	628	565	268	335	302	770	963	867	16384	assumed_from_config_default	15756	15882	2048	2048	FALSE	Q5
14	qwen3-30b-a3b-instruct-awq-b200	BG	Q5_BG	2	113	1824	2510	1487	502	628	565	298	372	335	800	1000	900	16384	assumed_from_config_default	15756	15882	2048	2048	FALSE	Q5
15	qwen3-30b-a3b-instruct-awq-b200	BG	Q5_BG	3	113	1824	2510	1373	502	628	565	275	344	310	777	972	875	16384	assumed_from_config_default	15756	15882	2048	2048	FALSE	Q5
16	qwen3-30b-a3b-instruct-awq-b200	HR	Q1_HR	1	114	1887	2574	1801	515	644	580	361	451	406	876	1095	986	16384	assumed_from_config_default	15740	15869	2048	2048	FALSE	Q1
17	qwen3-30b-a3b-instruct-awq-b200	HR	Q1_HR	2	114	1887	2574	1777	515	644	580	356	445	400	871	1089	980	16384	assumed_from_config_default	15740	15869	2048	2048	FALSE	Q1
18	qwen3-30b-a3b-instruct-awq-b200	HR	Q1_HR	3	114	1887	2574	1743	515	644	580	349	436	392	864	1080	972	16384	assumed_from_config_default	15740	15869	2048	2048	FALSE	Q1
19	qwen3-30b-a3b-instruct-awq-b200	HR	Q2_HR	1	104	1862	2539	1662	508	635	572	333	416	374	841	1051	946	16384	assumed_from_config_default	15749	15876	2048	2048	FALSE	Q2
20	qwen3-30b-a3b-instruct-awq-b200	HR	Q2_HR	2	104	1862	2539	1587	508	635	572	318	397	358	826	1032	930	16384	assumed_from_config_default	15749	15876	2048	2048	FALSE	Q2
21	qwen3-30b-a3b-instruct-awq-b200	HR	Q2_HR	3	104	1862	2539	1876	508	635	572	376	469	422	884	1104	994	16384	assumed_from_config_default	15749	15876	2048	2048	FALSE	Q2
22	qwen3-30b-a3b-instruct-awq-b200	HR	Q3_HR	1	90	1901	2564	1697	513	641	577	340	425	382	853	1066	959	16384	assumed_from_config_default	15743	15871	2048	2048	FALSE	Q3
23	qwen3-30b-a3b-instruct-awq-b200	HR	Q3_HR	2	90	1901	2564	1681	513	641	577	337	421	379	850	1062	956	16384	assumed_from_config_default	15743	15871	2048	2048	FALSE	Q3
24	qwen3-30b-a3b-instruct-awq-b200	HR	Q3_HR	3	90	1901	2564	1715	513	641	577	343	429	386	856	1070	963	16384	assumed_from_config_default	15743	15871	2048	2048	FALSE	Q3
25	qwen3-30b-a3b-instruct-awq-b200	HR	Q4_HR	1	105	1843	2521	2223	505	631	568	445	556	500	950	1187	1068	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
26	qwen3-30b-a3b-instruct-awq-b200	HR	Q4_HR	2	105	1843	2521	1618	505	631	568	324	405	364	829	1036	932	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
27	qwen3-30b-a3b-instruct-awq-b200	HR	Q4_HR	3	105	1843	2521	1618	505	631	568	324	405	364	829	1036	932	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
28	qwen3-30b-a3b-instruct-awq-b200	HR	Q5_HR	1	109	1824	2506	1726	502	627	564	346	432	389	848	1059	953	16384	assumed_from_config_default	15757	15882	2048	2048	FALSE	Q5
29	qwen3-30b-a3b-instruct-awq-b200	HR	Q5_HR	2	109	1824	2506	1530	502	627	564	306	383	344	808	1010	908	16384	assumed_from_config_default	15757	15882	2048	2048	FALSE	Q5
30	qwen3-30b-a3b-instruct-awq-b200	HR	Q5_HR	3	109	1824	2506	1530	502	627	564	306	383	344	808	1010	908	16384	assumed_from_config_default	15757	15882	2048	2048	FALSE	Q5
31	qwen3-30b-a3b-instruct-awq-b200	CS	Q1_CS	1	111	1887	2571	2362	515	643	579	473	591	532	988	1234	1111	16384	assumed_from_config_default	15741	15869	2048	2048	FALSE	Q1
32	qwen3-30b-a3b-instruct-awq-b200	CS	Q1_CS	2	111	1887	2571	1891	515	643	579	379	473	426	894	1116	1005	16384	assumed_from_config_default	15741	15869	2048	2048	FALSE	Q1
33	qwen3-30b-a3b-instruct-awq-b200	CS	Q1_CS	3	111	1887	2571	1891	515	643	579	379	473	426	894	1116	1005	16384	assumed_from_config_default	15741	15869	2048	2048	FALSE	Q1
34	qwen3-30b-a3b-instruct-awq-b200	CS	Q2_CS	1	92	1862	2527	2015	506	632	569	403	504	454	909	1136	1023	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
35	qwen3-30b-a3b-instruct-awq-b200	CS	Q2_CS	2	92	1862	2527	1940	506	632	569	388	485	436	894	1117	1005	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
36	qwen3-30b-a3b-instruct-awq-b200	CS	Q2_CS	3	92	1862	2527	1940	506	632	569	388	485	436	894	1117	1005	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
37	qwen3-30b-a3b-instruct-awq-b200	CS	Q3_CS	1	87	1901	2561	1920	513	641	577	384	480	432	897	1121	1009	16384	assumed_from_config_default	15743	15871	2048	2048	FALSE	Q3
38	qwen3-30b-a3b-instruct-awq-b200	CS	Q3_CS	2	87	1901	2561	1920	513	641	577	384	480	432	897	1121	1009	16384	assumed_from_config_default	15743	15871	2048	2048	FALSE	Q3
39	qwen3-30b-a3b-instruct-awq-b200	CS	Q3_CS	3	87	1901	2561	1987	513	641	577	398	497	448	911	1138	1025	16384	assumed_from_config_default	15743	15871	2048	2048	FALSE	Q3
40	qwen3-30b-a3b-instruct-awq-b200	CS	Q4_CS	1	106	1843	2522	1635	505	631	568	327	409	368	832	1040	936	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
41	qwen3-30b-a3b-instruct-awq-b200	CS	Q4_CS	2	106	1843	2522	2047	505	631	568	410	512	461	915	1143	1029	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
42	qwen3-30b-a3b-instruct-awq-b200	CS	Q4_CS	3	106	1843	2522	2047	505	631	568	410	512	461	915	1143	1029	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
