language	base_question	question_tokens_est	context_tokens_est	prompt_tokens_est
BG	Q1	31	472	646
BG	Q2	25	466	634
BG	Q3	28	476	646
BG	Q4	27	461	631
BG	Q5	29	456	628
CS	Q1	28	472	643
CS	Q2	23	466	632
CS	Q3	22	476	641
CS	Q4	27	461	631
CS	Q5	25	456	625
DA	Q1	34	472	649
DA	Q2	24	466	632
DA	Q3	25	476	643
DA	Q4	27	461	631
DA	Q5	27	456	626
DE	Q1	34	472	649
DE	Q2	26	466	635
DE	Q3	27	476	646
DE	Q4	28	461	632
DE	Q5	24	456	623
EL	Q1	33	472	648
EL	Q2	24	466	633
EL	Q3	30	476	649
EL	Q4	29	461	633
EL	Q5	32	456	631
EN	Q1	32	472	647
EN	Q2	20	466	628
EN	Q3	26	476	644
EN	Q4	24	461	628
EN	Q5	22	456	622
ES	Q1	35	472	650
ES	Q2	24	466	632
ES	Q3	26	476	645
ES	Q4	34	461	638
ES	Q5	28	456	627
ET	Q1	31	472	646
ET	Q2	24	466	633
ET	Q3	21	476	639
ET	Q4	27	461	631
ET	Q5	24	456	623
FI	Q1	34	472	649
FI	Q2	25	466	634
FI	Q3	24	476	642
FI	Q4	26	461	630
FI	Q5	23	456	622
FR	Q1	40	472	655
FR	Q2	25	466	634
FR	Q3	32	476	651
FR	Q4	32	461	636
FR	Q5	28	456	628
GA	Q1	34	472	649
GA	Q2	25	466	634
GA	Q3	26	476	644
GA	Q4	25	461	629
GA	Q5	33	456	632
HR	Q1	29	472	644
HR	Q2	26	466	635
HR	Q3	23	476	641
HR	Q4	27	461	631
HR	Q5	28	456	627
HU	Q1	31	472	646
HU	Q2	25	466	634
HU	Q3	27	476	646
HU	Q4	32	461	636
HU	Q5	27	456	626
IT	Q1	32	472	647
IT	Q2	24	466	633
IT	Q3	27	476	646
IT	Q4	31	461	635
IT	Q5	26	456	625
LT	Q1	32	472	647
LT	Q2	23	466	632
LT	Q3	25	476	643
LT	Q4	26	461	630
LT	Q5	26	456	625
LV	Q1	29	472	644
LV	Q2	23	466	632
LV	Q3	24	476	643
LV	Q4	27	461	631
LV	Q5	26	456	625
MT	Q1	33	472	648
MT	Q2	22	466	631
MT	Q3	28	476	646
MT	Q4	28	461	632
MT	Q5	31	456	630
NL	Q1	35	472	650
NL	Q2	23	466	632
NL	Q3	30	476	649
NL	Q4	28	461	632
NL	Q5	23	456	623
PL	Q1	30	472	645
PL	Q2	20	466	629
PL	Q3	30	476	649
PL	Q4	26	461	630
PL	Q5	31	456	630
PT	Q1	37	472	652
PT	Q2	21	466	630
PT	Q3	27	476	646
PT	Q4	33	461	637
PT	Q5	27	456	626
RO	Q1	34	472	649
RO	Q2	22	466	630
RO	Q3	29	476	648
RO	Q4	28	461	632
RO	Q5	28	456	627
SK	Q1	28	472	643
SK	Q2	24	466	632
SK	Q3	25	476	643
SK	Q4	30	461	634
SK	Q5	29	456	628
SL	Q1	27	472	642
SL	Q2	22	466	631
SL	Q3	27	476	645
SL	Q4	24	461	628
SL	Q5	27	456	626
SV	Q1	35	472	650
SV	Q2	21	466	630
SV	Q3	25	476	643
SV	Q4	26	461	630
SV	Q5	28	456	627
