question_id	language	base_question	prompt_tokens_est	model_name	max_model_len	remaining_output_tokens_est	effective_output_cap
Q1_BG	BG	Q1	646	EuroLLM-22B-Instruct-2512	16384	15738	2048
Q2_BG	BG	Q2	634	EuroLLM-22B-Instruct-2512	16384	15750	2048
Q3_BG	BG	Q3	646	EuroLLM-22B-Instruct-2512	16384	15738	2048
Q4_BG	BG	Q4	631	EuroLLM-22B-Instruct-2512	16384	15753	2048
Q5_BG	BG	Q5	628	EuroLLM-22B-Instruct-2512	16384	15756	2048
Q1_CS	CS	Q1	643	EuroLLM-22B-Instruct-2512	16384	15741	2048
Q2_CS	CS	Q2	632	EuroLLM-22B-Instruct-2512	16384	15752	2048
Q3_CS	CS	Q3	641	EuroLLM-22B-Instruct-2512	16384	15743	2048
Q4_CS	CS	Q4	631	EuroLLM-22B-Instruct-2512	16384	15753	2048
Q5_CS	CS	Q5	625	EuroLLM-22B-Instruct-2512	16384	15759	2048
Q1_DA	DA	Q1	649	EuroLLM-22B-Instruct-2512	16384	15735	2048
Q2_DA	DA	Q2	632	EuroLLM-22B-Instruct-2512	16384	15752	2048
Q3_DA	DA	Q3	643	EuroLLM-22B-Instruct-2512	16384	15741	2048
Q4_DA	DA	Q4	631	EuroLLM-22B-Instruct-2512	16384	15753	2048
Q5_DA	DA	Q5	626	EuroLLM-22B-Instruct-2512	16384	15758	2048
Q1_DE	DE	Q1	649	EuroLLM-22B-Instruct-2512	16384	15735	2048
Q2_DE	DE	Q2	635	EuroLLM-22B-Instruct-2512	16384	15749	2048
Q3_DE	DE	Q3	646	EuroLLM-22B-Instruct-2512	16384	15738	2048
Q4_DE	DE	Q4	632	EuroLLM-22B-Instruct-2512	16384	15752	2048
Q5_DE	DE	Q5	623	EuroLLM-22B-Instruct-2512	16384	15761	2048
Q1_EL	EL	Q1	648	EuroLLM-22B-Instruct-2512	16384	15736	2048
Q2_EL	EL	Q2	633	EuroLLM-22B-Instruct-2512	16384	15751	2048
Q3_EL	EL	Q3	649	EuroLLM-22B-Instruct-2512	16384	15735	2048
Q4_EL	EL	Q4	633	EuroLLM-22B-Instruct-2512	16384	15751	2048
Q5_EL	EL	Q5	631	EuroLLM-22B-Instruct-2512	16384	15753	2048
Q1_EN	EN	Q1	647	EuroLLM-22B-Instruct-2512	16384	15737	2048
Q2_EN	EN	Q2	628	EuroLLM-22B-Instruct-2512	16384	15756	2048
Q3_EN	EN	Q3	644	EuroLLM-22B-Instruct-2512	16384	15740	2048
Q4_EN	EN	Q4	628	EuroLLM-22B-Instruct-2512	16384	15756	2048
Q5_EN	EN	Q5	622	EuroLLM-22B-Instruct-2512	16384	15762	2048
Q1_ES	ES	Q1	650	EuroLLM-22B-Instruct-2512	16384	15734	2048
Q2_ES	ES	Q2	632	EuroLLM-22B-Instruct-2512	16384	15752	2048
Q3_ES	ES	Q3	645	EuroLLM-22B-Instruct-2512	16384	15739	2048
Q4_ES	ES	Q4	638	EuroLLM-22B-Instruct-2512	16384	15746	2048
Q5_ES	ES	Q5	627	EuroLLM-22B-Instruct-2512	16384	15757	2048
Q1_ET	ET	Q1	646	EuroLLM-22B-Instruct-2512	16384	15738	2048
Q2_ET	ET	Q2	633	EuroLLM-22B-Instruct-2512	16384	15751	2048
Q3_ET	ET	Q3	639	EuroLLM-22B-Instruct-2512	16384	15745	2048
Q4_ET	ET	Q4	631	EuroLLM-22B-Instruct-2512	16384	15753	2048
Q5_ET	ET	Q5	623	EuroLLM-22B-Instruct-2512	16384	15761	2048
Q1_FI	FI	Q1	649	EuroLLM-22B-Instruct-2512	16384	15735	2048
Q2_FI	FI	Q2	634	EuroLLM-22B-Instruct-2512	16384	15750	2048
Q3_FI	FI	Q3	642	EuroLLM-22B-Instruct-2512	16384	15742	2048
Q4_FI	FI	Q4	630	EuroLLM-22B-Instruct-2512	16384	15754	2048
Q5_FI	FI	Q5	622	EuroLLM-22B-Instruct-2512	16384	15762	2048
Q1_FR	FR	Q1	655	EuroLLM-22B-Instruct-2512	16384	15729	2048
Q2_FR	FR	Q2	634	EuroLLM-22B-Instruct-2512	16384	15750	2048
Q3_FR	FR	Q3	651	EuroLLM-22B-Instruct-2512	16384	15733	2048
Q4_FR	FR	Q4	636	EuroLLM-22B-Instruct-2512	16384	15748	2048
Q5_FR	FR	Q5	628	EuroLLM-22B-Instruct-2512	16384	15756	2048
Q1_GA	GA	Q1	649	EuroLLM-22B-Instruct-2512	16384	15735	2048
Q2_GA	GA	Q2	634	EuroLLM-22B-Instruct-2512	16384	15750	2048
Q3_GA	GA	Q3	644	EuroLLM-22B-Instruct-2512	16384	15740	2048
Q4_GA	GA	Q4	629	EuroLLM-22B-Instruct-2512	16384	15755	2048
Q5_GA	GA	Q5	632	EuroLLM-22B-Instruct-2512	16384	15752	2048
Q1_HR	HR	Q1	644	EuroLLM-22B-Instruct-2512	16384	15740	2048
Q2_HR	HR	Q2	635	EuroLLM-22B-Instruct-2512	16384	15749	2048
Q3_HR	HR	Q3	641	EuroLLM-22B-Instruct-2512	16384	15743	2048
Q4_HR	HR	Q4	631	EuroLLM-22B-Instruct-2512	16384	15753	2048
Q5_HR	HR	Q5	627	EuroLLM-22B-Instruct-2512	16384	15757	2048
Q1_HU	HU	Q1	646	EuroLLM-22B-Instruct-2512	16384	15738	2048
