question_id	base_question	language	question_tokens_est	context_tokens_est	prompt_tokens_est
Q1_BG	Q1	BG	31	472	646
Q1_CS	Q1	CS	28	472	643
Q1_DA	Q1	DA	34	472	649
Q1_DE	Q1	DE	34	472	649
Q1_EL	Q1	EL	33	472	648
Q1_EN	Q1	EN	32	472	647
Q1_ES	Q1	ES	35	472	650
Q1_ET	Q1	ET	31	472	646
Q1_FI	Q1	FI	34	472	649
Q1_FR	Q1	FR	40	472	655
Q1_GA	Q1	GA	34	472	649
Q1_HR	Q1	HR	29	472	644
Q1_HU	Q1	HU	31	472	646
Q1_IT	Q1	IT	32	472	647
Q1_LT	Q1	LT	32	472	647
Q1_LV	Q1	LV	29	472	644
Q1_MT	Q1	MT	33	472	648
Q1_NL	Q1	NL	35	472	650
Q1_PL	Q1	PL	30	472	645
Q1_PT	Q1	PT	37	472	652
Q1_RO	Q1	RO	34	472	649
Q1_SK	Q1	SK	28	472	643
Q1_SL	Q1	SL	27	472	642
Q1_SV	Q1	SV	35	472	650
Q2_BG	Q2	BG	25	466	634
Q2_CS	Q2	CS	23	466	632
Q2_DA	Q2	DA	24	466	632
Q2_DE	Q2	DE	26	466	635
Q2_EL	Q2	EL	24	466	633
Q2_EN	Q2	EN	20	466	628
Q2_ES	Q2	ES	24	466	632
Q2_ET	Q2	ET	24	466	633
Q2_FI	Q2	FI	25	466	634
Q2_FR	Q2	FR	25	466	634
Q2_GA	Q2	GA	25	466	634
Q2_HR	Q2	HR	26	466	635
Q2_HU	Q2	HU	25	466	634
Q2_IT	Q2	IT	24	466	633
Q2_LT	Q2	LT	23	466	632
Q2_LV	Q2	LV	23	466	632
Q2_MT	Q2	MT	22	466	631
Q2_NL	Q2	NL	23	466	632
Q2_PL	Q2	PL	20	466	629
Q2_PT	Q2	PT	21	466	630
Q2_RO	Q2	RO	22	466	630
Q2_SK	Q2	SK	24	466	632
Q2_SL	Q2	SL	22	466	631
Q2_SV	Q2	SV	21	466	630
Q3_BG	Q3	BG	28	476	646
Q3_CS	Q3	CS	22	476	641
Q3_DA	Q3	DA	25	476	643
Q3_DE	Q3	DE	27	476	646
Q3_EL	Q3	EL	30	476	649
Q3_EN	Q3	EN	26	476	644
Q3_ES	Q3	ES	26	476	645
Q3_ET	Q3	ET	21	476	639
Q3_FI	Q3	FI	24	476	642
Q3_FR	Q3	FR	32	476	651
Q3_GA	Q3	GA	26	476	644
Q3_HR	Q3	HR	23	476	641
Q3_HU	Q3	HU	27	476	646
Q3_IT	Q3	IT	27	476	646
Q3_LT	Q3	LT	25	476	643
Q3_LV	Q3	LV	24	476	643
Q3_MT	Q3	MT	28	476	646
Q3_NL	Q3	NL	30	476	649
Q3_PL	Q3	PL	30	476	649
Q3_PT	Q3	PT	27	476	646
Q3_RO	Q3	RO	29	476	648
Q3_SK	Q3	SK	25	476	643
Q3_SL	Q3	SL	27	476	645
Q3_SV	Q3	SV	25	476	643
Q4_BG	Q4	BG	27	461	631
Q4_CS	Q4	CS	27	461	631
Q4_DA	Q4	DA	27	461	631
Q4_DE	Q4	DE	28	461	632
Q4_EL	Q4	EL	29	461	633
Q4_EN	Q4	EN	24	461	628
Q4_ES	Q4	ES	34	461	638
Q4_ET	Q4	ET	27	461	631
Q4_FI	Q4	FI	26	461	630
Q4_FR	Q4	FR	32	461	636
Q4_GA	Q4	GA	25	461	629
Q4_HR	Q4	HR	27	461	631
Q4_HU	Q4	HU	32	461	636
Q4_IT	Q4	IT	31	461	635
Q4_LT	Q4	LT	26	461	630
Q4_LV	Q4	LV	27	461	631
Q4_MT	Q4	MT	28	461	632
Q4_NL	Q4	NL	28	461	632
Q4_PL	Q4	PL	26	461	630
Q4_PT	Q4	PT	33	461	637
Q4_RO	Q4	RO	28	461	632
Q4_SK	Q4	SK	30	461	634
Q4_SL	Q4	SL	24	461	628
Q4_SV	Q4	SV	26	461	630
Q5_BG	Q5	BG	29	456	628
Q5_CS	Q5	CS	25	456	625
Q5_DA	Q5	DA	27	456	626
Q5_DE	Q5	DE	24	456	623
Q5_EL	Q5	EL	32	456	631
Q5_EN	Q5	EN	22	456	622
Q5_ES	Q5	ES	28	456	627
Q5_ET	Q5	ET	24	456	623
Q5_FI	Q5	FI	23	456	622
Q5_FR	Q5	FR	28	456	628
Q5_GA	Q5	GA	33	456	632
Q5_HR	Q5	HR	28	456	627
Q5_HU	Q5	HU	27	456	626
Q5_IT	Q5	IT	26	456	625
Q5_LT	Q5	LT	26	456	625
Q5_LV	Q5	LV	26	456	625
Q5_MT	Q5	MT	31	456	630
Q5_NL	Q5	NL	23	456	623
Q5_PL	Q5	PL	31	456	630
Q5_PT	Q5	PT	27	456	626
Q5_RO	Q5	RO	28	456	627
Q5_SK	Q5	SK	29	456	628
Q5_SL	Q5	SL	27	456	626
Q5_SV	Q5	SV	28	456	627
